COMPOSTO,CATION,ANION,pKs,CARGA,RAIO_IONICO,E_IONIZACAO,COMPOSTO_ENCODED,CATION_ENCODED,ANION_ENCODED,COMPOSTO_TOKENS,CATION_TOKENS,ANION_TOKENS
Ag2SO4,Ag 1+,SO4 2-,4.97,1,1.0,7.57,4,0,13,"['Ag', '2', 'S', 'O', '4']","['Ag', '1']","['S', 'O', '4', '2']"
Ag2SO3,Ag 1+,SO3 2-,13.82,1,1.0,7.57,3,0,12,"['Ag', '2', 'S', 'O', '3']","['Ag', '1']","['S', 'O', '3', '2']"
FeCO3,Fe 2+,CO3 2- ,10.5,2,0.63,16.18,27,5,3,"['Fe', 'C', 'O', '3']","['Fe', '2']","['C', 'O', '3', '2']"
FeF2,Fe 2+,F 1-,5.63,2,0.63,16.18,28,5,6,"['Fe', 'F', '2']","['Fe', '2']","['F', '1']"
FeC2O4,Fe 2+,C2O4 2-,6.5,2,0.63,16.18,26,5,1,"['Fe', 'C', '2', 'O', '4']","['Fe', '2']","['C', '2', 'O', '4', '2']"
FePO4,Fe 3+,PO4 3-,15.0,3,0.49,30.96,29,6,10,"['Fe', 'P', 'O', '4']","['Fe', '3']","['P', 'O', '4', '3']"
Li2CO3,Li 1+,CO3 2- ,1.6,1,0.59,5.39,39,9,3,"['Li', '2', 'C', 'O', '3']","['Li', '1']","['C', 'O', '3', '2']"
LiF,Li 1+,F 1-,2.74,1,0.59,5.39,44,9,6,"['Li', 'F']","['Li', '1']","['F', '1']"
Li3PO4,Li 1+,PO4 3-,10.63,1,0.59,5.39,41,9,10,"['Li', '3', 'P', 'O', '4']","['Li', '1']","['P', 'O', '4', '3']"
BaCO3,Ba 2+,CO3 2- ,8.59,2,1.35,10.0,9,1,3,"['Ba', 'C', 'O', '3']","['Ba', '2']","['C', 'O', '3', '2']"
BaF2,Ba 2+,F 1-,6.74,2,1.35,10.0,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
Ba3(PO4)2,Ba 2+,PO4 3-,15.0,2,1.35,10.0,7,1,10,"['Ba', '3', 'P', 'O', '4', '2']","['Ba', '2']","['P', 'O', '4', '3']"
BaSO4,Ba 2+,SO4 2-,9.97,2,1.35,10.0,13,1,13,"['Ba', 'S', 'O', '4']","['Ba', '2']","['S', 'O', '4', '2']"
BaC2O4,Ba 2+,C2O4 2-,6.79,2,1.35,10.0,8,1,1,"['Ba', 'C', '2', 'O', '4']","['Ba', '2']","['C', '2', 'O', '4', '2']"
MnCO3,Mn 2+,CO3 2- ,10.63,2,0.66,15.64,56,11,3,"['Mn', 'C', 'O', '3']","['Mn', '2']","['C', 'O', '3', '2']"
MnC2O4,Mn 2+,C2O4 2-,6.77,2,0.66,15.64,55,11,1,"['Mn', 'C', '2', 'O', '4']","['Mn', '2']","['C', '2', 'O', '4', '2']"
Hg2CO3,Hg 1+,CO3 2- ,15.0,1,1.19,10.43,30,7,3,"['Hg', '2', 'C', 'O', '3']","['Hg', '1']","['C', 'O', '3', '2']"
Hg2CrO4,Hg 1+,CrO4 2-,8.7,1,1.19,10.43,31,7,5,"['Hg', '2', 'Cr', 'O', '4']","['Hg', '1']","['Cr', 'O', '4', '2']"
Hg2SO4,Hg 1+,SO4 2-,6.19,1,1.19,10.43,34,7,13,"['Hg', '2', 'S', 'O', '4']","['Hg', '1']","['S', 'O', '4', '2']"
Hg2F2,Hg 1+,F 1-,5.51,1,1.19,10.43,32,7,6,"['Hg', '2', 'F', '2']","['Hg', '1']","['F', '1']"
Hg2SO3,Hg 1+,SO3 2-,15.0,1,1.19,10.43,33,7,12,"['Hg', '2', 'S', 'O', '3']","['Hg', '1']","['S', 'O', '3', '2']"
NiCO3,Ni 2+,CO3 2-,6.85,2,0.49,18.16,63,13,2,"['Ni', 'C', 'O', '3']","['Ni', '2']","['C', 'O', '3', '2']"
NiC2O4,Ni 2+,C2O4 2-,9.4,2,0.49,18.16,62,13,1,"['Ni', 'C', '2', 'O', '4']","['Ni', '2']","['C', '2', 'O', '4', '2']"
Ni3(PO4)2,Ni 2+,PO4 3-,15.0,2,0.49,18.16,61,13,10,"['Ni', '3', 'P', 'O', '4', '2']","['Ni', '2']","['P', 'O', '4', '3']"
SrCO3,Sr 2+,CO3 2-,9.25,2,1.18,11.03,69,16,2,"['Sr', 'C', 'O', '3']","['Sr', '2']","['C', 'O', '3', '2']"
SrCrO4,Sr 2+,CrO4 2-,4.65,2,1.18,11.03,71,16,5,"['Sr', 'Cr', 'O', '4']","['Sr', '2']","['Cr', 'O', '4', '2']"
CaCO3,Ca 2+,CO3 2-,8.54,2,1.0,11.87,17,3,2,"['Ca', 'C', 'O', '3']","['Ca', '2']","['C', 'O', '3', '2']"
MgSO4,Mg 2+,SO4 2-,5.7,2,0.72,10.65,54,10,13,"['Mg', 'S', 'O', '4']","['Mg', '2']","['S', 'O', '4', '2']"
NaCl,Na +,Cl -,6.36,1,0.95,12.32,59,12,4,"['Na', 'Cl']",['Na'],['Cl']
BaSO4,Ba 2+,SO4 2-,9.98,2,1.35,10.25,13,1,13,"['Ba', 'S', 'O', '4']","['Ba', '2']","['S', 'O', '4', '2']"
PbCl2,Pb 2+,Cl -,6.18,2,1.2,12.2,64,14,4,"['Pb', 'Cl', '2']","['Pb', '2']",['Cl']
KNO3,K +,NO3 -,1.12,1,1.38,13.18,38,8,8,"['K', 'N', 'O', '3']",['K'],"['N', 'O', '3']"
NaF,Na +,F 1-,7.0,1,1.02,13.6,60,12,6,"['Na', 'F']",['Na'],"['F', '1']"
K2SO4,K +,SO4 2-,9.0,1,1.38,12.32,35,8,13,"['K', '2', 'S', 'O', '4']",['K'],"['S', 'O', '4', '2']"
LiCl,Li 1+,Cl -,6.0,1,0.76,5.39,43,9,4,"['Li', 'Cl']","['Li', '1']",['Cl']
RbBr,Rb +,Br -,8.5,1,1.52,4.18,66,15,0,"['Rb', 'Br']",['Rb'],['Br']
CsI,Cs +,I -,10.0,1,1.67,3.89,25,4,7,"['Cs', 'I']",['Cs'],['I']
SrF2,Sr 2+,F 1-,7.8,2,1.13,5.69,72,16,6,"['Sr', 'F', '2']","['Sr', '2']","['F', '1']"
BeO,Be 2+,O 2-,8.2,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
KF,K +,F 1-,10.2,1,1.38,4.34,37,8,6,"['K', 'F']",['K'],"['F', '1']"
CsBr,Cs +,Br -,9.5,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
BaCl2,Ba 2+,Cl -,8.0,2,1.35,5.21,10,1,4,"['Ba', 'Cl', '2']","['Ba', '2']",['Cl']
MgO,Mg 2+,O 2-,11.3,2,0.72,7.64,52,10,9,"['Mg', 'O']","['Mg', '2']","['O', '2']"
LiBr,Li 1+,Br -,6.7,1,0.76,5.39,42,9,0,"['Li', 'Br']","['Li', '1']",['Br']
RbCl,Rb +,Cl -,8.9,1,1.52,4.18,67,15,4,"['Rb', 'Cl']",['Rb'],['Cl']
NaBr,Na +,Br -,7.5,1,1.02,13.6,58,12,0,"['Na', 'Br']",['Na'],['Br']
LiI,Li 1+,I -,6.9,1,0.76,5.39,45,9,7,"['Li', 'I']","['Li', '1']",['I']
KF,K +,F 1-,10.2,1,1.38,4.34,37,8,6,"['K', 'F']",['K'],"['F', '1']"
CaO,Ca 2+,O 2-,11.8,2,1.0,6.11,20,3,9,"['Ca', 'O']","['Ca', '2']","['O', '2']"
BaI2,Ba 2+,I -,8.1,2,1.35,5.21,12,1,7,"['Ba', 'I', '2']","['Ba', '2']",['I']
SrO,Sr 2+,O 2-,11.5,2,1.13,5.69,73,16,9,"['Sr', 'O']","['Sr', '2']","['O', '2']"
BeCl2,Be 2+,Cl -,7.8,2,0.45,9.32,14,2,4,"['Be', 'Cl', '2']","['Be', '2']",['Cl']
Rb2O,Rb +,O 2-,9.7,1,1.52,4.18,65,15,9,"['Rb', '2', 'O']",['Rb'],"['O', '2']"
CsCl,Cs +,Cl -,9.0,1,1.67,3.89,24,4,4,"['Cs', 'Cl']",['Cs'],['Cl']
MgI2,Mg 2+,I -,8.5,2,0.72,7.64,51,10,7,"['Mg', 'I', '2']","['Mg', '2']",['I']
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
Li2O,Li 1+,O 2-,8.1,1,0.76,5.39,40,9,9,"['Li', '2', 'O']","['Li', '1']","['O', '2']"
Na2S,Na +,S 2-,9.4,1,1.02,13.6,57,12,11,"['Na', '2', 'S']",['Na'],"['S', '2']"
KCl,K +,Cl -,10.0,1,1.38,4.34,36,8,4,"['K', 'Cl']",['K'],['Cl']
RbI,Rb +,I -,9.6,1,1.52,4.18,68,15,7,"['Rb', 'I']",['Rb'],['I']
CsBr,Cs +,Br -,9.3,1,1.67,3.89,23,4,0,"['Cs', 'Br']",['Cs'],['Br']
MgCl2,Mg 2+,Cl -,8.2,2,0.72,7.64,49,10,4,"['Mg', 'Cl', '2']","['Mg', '2']",['Cl']
CaS,Ca 2+,S 2-,9.7,2,1.0,6.11,21,3,11,"['Ca', 'S']","['Ca', '2']","['S', '2']"
BaF2,Ba 2+,F 1-,7.9,2,1.35,5.21,11,1,6,"['Ba', 'F', '2']","['Ba', '2']","['F', '1']"
SrCl2,Sr 2+,Cl -,8.6,2,1.13,5.69,70,16,4,"['Sr', 'Cl', '2']","['Sr', '2']",['Cl']
BeO,Be 2+,O 2-,11.3,2,0.45,9.32,15,2,9,"['Be', 'O']","['Be', '2']","['O', '2']"
